date,block_section_or_yard,corridor_block,line,demanded_time_from,demanded_time_to,block_demanded,permitted_time_from,permitted_time_to,block_permitted
2024-06-23,TMV-MTL,MAS-GDR,DN,15:35:00,17:05:00,90,00:00:00,01:30:00,90
2024-06-23,NYP-PYA,MAS-GDR,DN,14:15:00,15:15:00,60,00:00:00,01:00:00,60
2024-06-23,NYP YD,MAS-GDR,DN,14:15:00,15:15:00,60,00:00:00,01:00:00,60
2024-06-23,BBQ-WST,MAS-GDR,DN,13:30:00,15:30:00,120,00:00:00,02:00:00,120
2024-06-23,SPE-PEL,MAS-GDR,DN,14:00:00,14:45:00,45,00:00:00,00:45:00,45
2024-06-23,KVN-GYM,MAS-GDR,DN,13:00:00,15:30:00,150,00:00:00,02:30:00,150
2024-06-23,PEL YD,MAS-GDR,DN,23:22:00,00:23:00,61,00:00:00,01:01:00,61
2024-06-23,ELR YD,MAS-GDR,DN,18:05:00,18:35:00,30,00:00:00,00:30:00,30
2024-06-23,PYA-ODR,MAS-GDR,DN,15:15:00,16:15:00,60,00:00:00,01:00:00,60
2024-06-23,DVR-NYP,MAS-GDR,DN,16:30:00,17:30:00,60,00:00:00,01:00:00,60
2024-06-23,PYA-ODUR,MAS-GDR,DN,17:10:00,18:27:00,77,00:00:00,01:17:00,77
2024-06-23,PON-KVP,MAS-GDR,DN,00:00:00,04:00:00,240,00:00:00,04:00:00,240
2024-06-23,ELR-AKM,MAS-GDR,DN,00:15:00,00:30:00,15,00:15:00,00:30:00,15
2024-06-23,TDK-PUDI,AJJ-RU,DN,00:30:00,02:30:00,120,00:30:00,02:30:00,120
2024-06-23,SPE-TADA,MAS-GDR,DN,01:30:00,05:20:00,230,00:40:00,04:30:00,230
2024-06-23,VPY-WST,MAS-GDR,DN,00:50:00,01:50:00,60,00:50:00,01:50:00,60
2024-06-23,AKM-ELR,MAS-GDR,UP,01:00:00,02:30:00,90,01:00:00,02:30:00,90
2024-06-23,ELR-AKM,MAS-GDR,DN,01:00:00,04:00:00,180,01:00:00,04:00:00,180
2024-06-23,ODR YD,MAS-GDR,UP,09:00:00,10:30:00,90,01:00:00,02:30:00,90
2024-06-23,SPE-PEL,MAS-GDR,DN,01:00:00,04:00:00,180,01:00:00,04:00:00,180
2024-06-23,NYP-DVR,MAS-GDR,UP,09:00:00,10:30:00,90,01:00:00,02:30:00,90
2024-06-23,KOK-TNP,MAS-GDR,DN,01:00:00,01:50:00,50,01:00:00,01:50:00,50
2024-06-23,ODUR-GDR,MAS-GDR,DN,01:00:00,03:30:00,150,01:00:00,03:30:00,150
2024-06-23,PYA-NYP,MAS-GDR,DN,01:00:00,04:10:00,190,01:00:00,04:10:00,190
2024-06-23,BBQ-KOK,MAS-GDR,DN,01:00:00,02:30:00,90,01:00:00,02:30:00,90
2024-06-23,ELR YD,MAS-GDR,DN,01:05:00,02:05:00,60,01:05:00,02:05:00,60
2024-06-23,POI-VGA,AJJ-RU,DN,01:05:00,04:30:00,205,01:05:00,04:30:00,205
2024-06-23,PUT-TDK,AJJ-RU,DN,01:30:00,04:45:00,195,01:15:00,04:30:00,195
2024-06-23,PON-MJR,MAS-GDR,DN,01:15:00,03:50:00,155,01:15:00,03:50:00,155
2024-06-23,NYP-DVR,MAS-GDR,DN,01:20:00,04:20:00,180,01:20:00,04:20:00,180
2024-06-23,ODR-GDR,MAS-GDR,DN,12:00:00,15:00:00,180,01:30:00,04:30:00,180
2024-06-23,KVP YD,MAS-GDR,DN,01:30:00,04:00:00,150,01:30:00,04:00:00,150
2024-06-23,GDR-ODR,MAS-GDR,DN,12:00:00,15:00:00,180,01:30:00,04:30:00,180
2024-06-23,MJR YD,MAS-GDR,DN,01:30:00,04:30:00,180,01:30:00,04:30:00,180
2024-06-23,PUDI YD,AJJ-RU,DN,02:30:00,05:30:00,180,01:30:00,04:30:00,180
2024-06-23,TDK-PDD,AJJ-RU,DN,12:30:00,15:30:00,180,01:30:00,04:30:00,180
2024-06-23,MMK YD,MS-VM,UP,10:45:00,12:15:00,90,01:30:00,03:00:00,90
2024-06-23,KOK-VPY,MAS-GDR,DN,11:00:00,14:00:00,180,01:30:00,04:30:00,180
