date,block_section_or_yard,corridor_block,line,demanded_time_from,demanded_time_to,block_demanded,permitted_time_from,permitted_time_to,block_permitted
2024-06-21,TRT YD,AJJ-RU,UP,00:30:00,03:30:00,180,01:45:00,04:45:00,180
2024-06-21,NG-VGA,AJJ-RU,UP,23:00:00,02:00:00,180,01:45:00,04:45:00,180
2024-06-21,RU-PUDI,AJJ-RU,UP,23:55:00,02:55:00,180,01:45:00,04:45:00,180
2024-06-21,TDK YD,AJJ-RU,UP,00:00:00,03:00:00,180,01:45:00,04:45:00,180
2024-06-21,POI-TRT,AJJ-RU,UP,00:30:00,03:00:00,150,01:45:00,04:15:00,150
2024-06-21,VGA YD,AJJ-RU,UP,01:00:00,04:00:00,180,01:45:00,04:45:00,180
2024-06-21,PUT YD,AJJ-RU,UP,00:30:00,03:30:00,180,01:45:00,04:45:00,180
2024-06-21,RU-PDD,AJJ-RU,UP,00:00:00,03:00:00,180,01:45:00,04:45:00,180
2024-06-21,PDD YD,AJJ-RU,UP,00:00:00,03:00:00,180,01:45:00,04:45:00,180
2024-06-21,TDK-PUDI,AJJ-RU,UP,00:30:00,02:30:00,120,01:45:00,03:45:00,120
2024-06-21,TDK-PUT,AJJ-RU,UP,00:00:00,03:00:00,180,01:45:00,04:45:00,180
2024-06-21,TDK-VGA,AJJ-RU,UP,00:50:00,02:20:00,90,01:45:00,03:15:00,90
2024-06-21,SVF YD,AJJ-RU,UP,23:40:00,01:40:00,120,01:45:00,03:45:00,120
2024-06-21,PUT-VGA,AJJ-RU,UP,02:00:00,04:00:00,120,02:00:00,04:00:00,120
2024-06-21,NG-POI,AJJ-RU,UP,11:30:00,14:30:00,180,02:15:00,05:15:00,180
2024-06-21,VGA-NG,AJJ-RU,UP,11:30:00,14:30:00,180,02:15:00,05:15:00,180
2024-06-21,PDD-RU,AJJ-RU,UP,02:15:00,03:30:00,75,02:15:00,03:30:00,75
2024-06-21,NG YD,AJJ-RU,UP,11:30:00,14:30:00,180,02:15:00,05:15:00,180
2024-06-21,TDK-PDD,AJJ-RU,UP,12:30:00,15:30:00,180,02:15:00,05:15:00,180
2024-06-21,PUDI YD,AJJ-RU,UP,02:30:00,05:30:00,180,02:15:00,05:15:00,180
2024-06-21,POI-NG,AJJ-RU,UP,11:30:00,14:30:00,180,02:15:00,05:15:00,180
2024-06-21,AJJ (N)-TRT,AJJ-RU,UP,02:30:00,05:00:00,150,02:30:00,05:00:00,150
2024-06-21,POI YD,AJJ-RU,UP,10:10:00,12:45:00,155,02:40:00,05:15:00,155
2024-06-21,VGA-PUT,AJJ-RU,UP,10:00:00,12:00:00,120,03:15:00,05:15:00,120
2024-06-21,AJJ(N)-AJJ,AJJ-RU,UP,03:15:00,04:25:00,70,03:15:00,04:25:00,70
2024-06-21,VGA-POI,AJJ-RU,UP,10:00:00,12:00:00,120,03:15:00,05:15:00,120
2024-06-21,NA-VGA,AJJ-RU,UP,12:00:00,14:00:00,120,03:15:00,05:15:00,120
2024-06-21,TDD-PDD,AJJ-RU,UP,12:00:00,14:00:00,120,03:15:00,05:15:00,120
2024-06-21,TDK-PUDI,AJJ-RU,UP,12:30:00,13:45:00,75,04:00:00,05:15:00,75
2024-06-21,POI-TRT,AJJ-RU,UP,12:30:00,13:15:00,45,04:30:00,05:15:00,45
2024-06-21,TRT YD,AJJ-RU,UP,10:15:00,10:45:00,30,04:45:00,05:15:00,30
2024-06-21,KPD YD,TRL-KPD,UP,12:10:00,13:10:00,60,22:30:00,23:30:00,60
2024-06-21,CTRE-MDVE,TRL-KPD,UP,13:05:00,13:50:00,45,22:30:00,23:15:00,45
2024-06-21,KBT YD,TRL-KPD,UP,12:20:00,13:20:00,60,22:30:00,23:30:00,60
2024-06-21,CTRE YD,TRL-KPD,UP,13:00:00,14:00:00,60,22:30:00,23:30:00,60
2024-06-21,AJJ YD,TRL-KPD,UP,22:30:00,01:30:00,180,22:30:00,01:30:00,180
2024-06-21,PYA YD,MAS-GDR,UP,12:15:00,15:00:00,165,22:30:00,01:15:00,165
2024-06-21,TRT-AJJN,TRL-KPD,UP,13:32:00,13:52:00,20,22:30:00,22:50:00,20
2024-06-21,WJR YD,TRL-KPD,UP,13:00:00,13:45:00,45,22:30:00,23:15:00,45
2024-06-21,KPL YD,MAS-GDR,UP,13:55:00,14:20:00,25,22:30:00,22:55:00,25
2024-06-21,NYP-PYA,MAS-GDR,UP,12:00:00,15:00:00,180,22:30:00,01:30:00,180
2024-06-21,MLPM YD,TRL-KPD,UP,12:30:00,14:30:00,120,22:30:00,00:30:00,120
2024-06-21,MCN YD,TRL-KPD,UP,13:00:00,14:20:00,80,22:30:00,23:50:00,80
2024-06-21,KOK YD,MAS-GDR,UP,16:00:00,16:45:00,45,22:30:00,23:15:00,45
2024-06-21,MDVE YD,TRL-KPD,UP,22:10:00,00:30:00,140,22:30:00,00:50:00,140
2024-06-21,KVN YD,MAS-GDR,UP,12:05:00,13:05:00,60,22:30:00,23:30:00,60
2024-06-21,DVR YD,MAS-GDR,UP,12:00:00,15:00:00,180,22:30:00,01:30:00,180
2024-06-21,TNP YD,MAS-GDR,UP,15:30:00,18:00:00,150,22:30:00,01:00:00,150
2024-06-21,SVUR YD,TRL-KPD,UP,12:10:00,13:10:00,60,22:30:00,23:30:00,60
2024-06-21,PEL YD,MAS-GDR,UP,11:30:00,14:30:00,180,22:30:00,01:30:00,180
2024-06-21,SPE YD,MAS-GDR,UP,22:00:00,01:00:00,180,22:30:00,01:30:00,180
2024-06-21,TUG YD,TRL-KPD,UP,16:15:00,17:15:00,60,22:30:00,23:30:00,60
2024-06-21,AIP YD,MAS-GDR,UP,13:55:00,16:55:00,180,22:30:00,01:30:00,180
