DATE,Department,DEN,Block Section/ Yard,CORRIDOR block section,corridor block period,UP/ DN Line,Block demanded in Hrs(Day or Night),Demanded time (From),Demanded time (To),Block demanded in(MINS),Permitted time (From) No need to fill,Permitted time (To) No need to fill,BLOCK PERMITTED MINS,Location - FROM,Location - TO,Nautre of work & Quantum of Output Planned,Need for disconnection (If Yes Track Circuit and Signals Affected) Please give specific details without fail,Caution required,Caution required (if yes with relaxation date dd:mm:yyyy),Power Block & its Elementary Section. Please give specific details without fail,"Resources needed (M/C, Manpower, Supervisors) Include Crane,JCB,porcelain or any other equipment also",Whether site preparation & resources ready,Supervisors to be deputed (JE/SSE with section),Coaching repercussions/ Movement Repercussions,"Actual Block Granted From
  No need to fill","Actual Block Granted To
  No need to fill","Actual block duration MINS
  No need to fill","Over all % granted for the day
  No need to fill","Output as per Manual
  No need to fill","Actual Output
 ","% Output vs Planned
  No need to fill","% Output
 vs
 Planned",PROGRESS,,,,LOCATION,SECTION,ARB/RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1-2024,ENGG,EAST,AKM-ELR,MAS-GDR,,UP,,22:00,00:00,120,22:15,01:15,180,,,DTE 56743,,,,,,,,,00:35,02:10,95,,,"1410 SLP (WORKED SLOWLY DUE TO LUS 43,LUS 40, BR NO 127)",,,,,,,"60/100-59/800,56/400-56/100,55/300-55/100",SPE,ADDITIONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1-2024,ENGG,EAST,ELR-AKM,MAS-GDR,,DN,,01:00,03:00,120,01:15,05:15,240,,,DTE 56743,,,,,,,,,03:05,05:05,120,,,2730 SLP (BR NO 127),,,,,,,"55/350-54/500,60/750-60/000",SPE,ADDITIONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1-2024,ENGG,EAST,SPE YD,MAS-GDR,,DN,,22:00,01:00,180,22:15,01:15,180,,,DTE 56743,,,,,,,,,23:00,00:35,95,,,1560 SLP,,,,,,,81/600-80/700,SPE,ADDITIONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1-2024,ENGG,SOUTH,PEI-MTL,MSB-VM,,UP,,21:00,01:00,240,21:00,01:00,240,,,BCM 358,,,,,,,,,21:00,00:00,180,,,120 MTS,,,,,,,135/510-135/390,TMV,ADDITIONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1-2024,ENGG,EAST,,,,,,,,0,,,0,,,BCM 704,,,,,,,,,,,0,,,BLOCK NOT PLANNED DUE TO CONTRACT LABOUR NOT TRUNED UP,,,,,,,,TVT,ADDITIONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1-2024,ENGG,WEST,CJ-TMLP,CGL-AJJ,,SL,,12:30,13:30,60,12:30,13:30,60,,,BRM R 32,,,,,,,,,12:30,13:30,60,,,1500 MTS,,,,,,,37/200-37/700,CJ,ADDITIONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1-2024,ENGG,WEST,MDVE-SHU,TRL-KPD,,DN,,10:00,13:00,180,09:30,11:00,90,,,DGS 350,,,,,,,,,10:15,11:50,95,,,700 MTS,,,,,,,88/600-89/300,WJR,ADDITIONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1-2024,ENGG,SOUTH,PEI-MTL,MSB-VM,,UP,,21:00,00:07,187,21:00,00:07,187,,,DGS 353,,,,,,,,,21:00,00:07,187,,,1100 MTS,,,,,,,136/500-135/400,TMV,ADDITIONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1-2024,ENGG,,,,,,,,,0,,,0,,,FRM 1878,,,,,,,,,,,0,,,MACHINE FAILED BLOCK NOT AVAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1-2024,ENGG,WEST,MCN-THL,TRL-KPD,,DN,,13:35,14:35,60,13:35,14:35,60,,,SBCM 57152,,,,,,,,,13:35,14:35,60,,,250 MTS,,,,,,,114/150-400,WJR,ADDITIONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
